EmployeeNumber,Age,AgeGroup,Gender,MaritalStatus,EducationField,Department,JobRole,JobLevel,BusinessTravel,MonthlyIncome,PercentSalaryHike,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,YearsAtCompany,TenureBand,YearsInCurrentRole,YearsSinceLastPromotion,TotalWorkingYears,NumCompaniesWorked,OverTime,OverTime_Flag,DistanceFromHome,FlightRiskScore,RiskSegment,Attrition,Attrition_Flag
1,41,36-45,Female,Single,Life Sciences,Sales,Sales Executive,2,Travel_Rarely,5993,11,0,4,2,1,1,3,6,6-10 yrs,4,0,8,8,Yes,1,1,0.6825092153765139,High Flight Risk,Yes,1
2,49,46-60,Male,Married,Life Sciences,Research & Development,Research Scientist,2,Travel_Frequently,5130,23,1,2,3,4,3,2,10,6-10 yrs,7,1,10,1,No,0,8,0.44826487625065825,Stable but Disengaged,No,0
4,37,36-45,Male,Single,Other,Research & Development,Laboratory Technician,1,Travel_Rarely,2090,15,0,3,4,2,3,2,0,0-2 yrs,0,0,7,6,Yes,1,2,0.7219483938915219,High Flight Risk,Yes,1
5,33,26-35,Female,Married,Life Sciences,Research & Development,Research Scientist,1,Travel_Frequently,2909,11,0,3,4,3,3,3,8,6-10 yrs,7,3,8,1,Yes,1,3,0.6933228014744603,High Flight Risk,No,0
7,27,26-35,Male,Married,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,3468,12,1,2,1,4,3,3,2,0-2 yrs,2,2,6,9,No,0,2,0.4857688256977357,Moderate Risk,No,0
8,32,26-35,Male,Single,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Frequently,3068,13,0,4,4,3,2,3,7,6-10 yrs,7,3,8,0,No,0,2,0.36081490258030546,Stable but Disengaged,No,0
10,59,46-60,Female,Married,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,2670,20,3,1,3,1,2,4,1,0-2 yrs,0,0,12,4,Yes,1,3,0.9300065824117958,High Flight Risk,No,0
11,30,26-35,Male,Divorced,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,2693,22,1,3,4,2,3,3,1,0-2 yrs,0,0,1,1,No,0,24,0.4130976829910479,Stable but Disengaged,No,0
12,38,36-45,Male,Single,Life Sciences,Research & Development,Manufacturing Director,3,Travel_Frequently,9526,21,0,3,4,2,3,2,9,6-10 yrs,7,1,10,0,No,0,23,0.3211334913112165,Stable but Disengaged,No,0
13,36,36-45,Male,Married,Medical,Research & Development,Healthcare Representative,2,Travel_Rarely,5237,13,2,3,3,2,2,3,7,6-10 yrs,7,7,17,6,No,0,27,0.4213046340179042,Stable but Disengaged,No,0
14,35,26-35,Male,Married,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,2426,13,1,2,1,3,3,4,5,3-5 yrs,4,0,6,0,No,0,16,0.4892430226434966,Moderate Risk,No,0
15,29,26-35,Female,Single,Life Sciences,Research & Development,Laboratory Technician,2,Travel_Rarely,4193,12,0,3,4,4,3,2,9,6-10 yrs,5,0,10,0,Yes,1,15,0.6772998946814113,High Flight Risk,No,0
16,31,26-35,Male,Divorced,Life Sciences,Research & Development,Research Scientist,1,Travel_Rarely,2911,17,1,3,1,4,2,3,5,3-5 yrs,2,4,5,1,No,0,26,0.45080173775671406,Moderate Risk,No,0
18,34,26-35,Male,Divorced,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,2661,11,1,4,2,3,3,3,2,0-2 yrs,2,1,3,0,No,0,19,0.3276013691416535,Stable but Disengaged,No,0
